"Overall
Query no.",Query no.,Name of Company,Description of the query,Response from NPCIL
93,13,M/s Adani Energy Solutions Limited,"Change request:
1. NPCIL/AERB approvals should be limited to only 'Importatnt to Nuclear Safety (ITNS)' side equipment.
2. An approval committee with equal representation of developers, vendors, and NPCIL/AERB should be constituted for time-bound approval or default approval beyond stipulated timelines.
3. NPCIL/AERB approvals should not be required for ‘Not Important to Nuclear Safety (NINS)’ components/ processes.
Rationale:
Timely approvals from NPCIL/AERB are needed for timebound execution of projects and to avoid cost escalations due to project delays.",This aspect is based on the regulatory requirements stipulated by AERB
94,14,M/s Adani Energy Solutions Limited,"Change request: NPCIL should assure 90% availability as per historical trend of operating NPPs
Rationale:  Higher availabilty enables operating cost optimization.
Indicated PLF is very low. It is not clear if this PLF is only for guarantee purpose and plant will operate at higher PLF.",The plant is expected to operate at Normative Plant Load Factor (“PLF”) of 68.5%. The normative PLF is under consideration for revision to 72.5%. However the actual availability is expected to be higher as per historical trend of similar operating NPPs
95,15,M/s Adani Energy Solutions Limited,"Change request: At  any statge, USER shall have right to sell/transfer the asset. In case
the USER is unable to find a subsitute,  the entire NPP facility as exist at that stage including land will vest in the DAE and USER will be compensated at fair market price of the project.
Rationale: It is new sector for private sector players. Strict exit norms create an entry barrier.",RFP terms & conditions shall prevail.
96,16,M/s Adani Energy Solutions Limited,"Change request:  Cost of project delay due to reasons attributable to NPCIL's exit may be loaded on NPCIL. As such,  NPCIL or later DAE should act as a consultant, providing expert advice, supervision and guidance during the project execution stage and later during O&M.
Rationale:  For faster project execution and later for efficient O&M management.",RFP terms & conditions shall prevail.
97,17,M/s Adani Energy Solutions Limited,"Change request: Request NPCIL to provide any existing list of suitable sites available with NPCIL for preliminary evaluation by USER as potential site.
Rationale: To save time and expedite the pre -feasibility assessment of potential sites for NPP.",Land is to be identified and offered by USER.
98,18,M/s Adani Energy Solutions Limited,"Please consider combined electricity requirement of the bidding entity as well as  parent company & subsidiary entites that includes existing electricity demand as well as projected electricity demand.
Rationale: Electricity Captive Rules do allow electricity consumption by parent or its any subsidiary to qualify as captive consumption of the bidding entity. Captive power plant can also be set up as group captive plant as per the exiting guidelines of MoP.",Refer RFP Annexure-3 and Corrigendum-IV
99,19,M/s Adani Energy Solutions Limited,"Change request: Whether the screening distance value will be relaxed for Brown field site?
Rationale: RFP states both Brown field or Green field sites are acceptable.  However, in case of brown field site, the screening distance value in respect of distance from industrial facility could not be met.",All SDVs as per AERB siting code are applicable for Brown field site.
100,20,M/s Adani Energy Solutions Limited,"Change request:
Request to eliminate the EMD amount at the proposal submission stage.
Rationale:
Currently, it is a preliminary stage and a lot of approvals and siting approvals are need to finalize land parcel. Further, there is limited clarity on the business model structure, lesser visbility of actual project cost & its design & BoQ and terms of aggrements (fuels, O&M, etc.).",RFP Terms and Conditions shall prevail.
101,21,M/s Adani Energy Solutions Limited,"Change request:
Request to increase the proposal subkission timeline by at least one quarter time of a year.
Rationale:
The details on pre-bid queries are still awaited and suitable land parcel identification is time taking and challenging task.",Refer Corrigendum-III to RFP for extension.
102,22,M/s Adani Energy Solutions Limited,"Change request:
It is requested to make provisions for providing incentives to NPCIL for timely approval/supervision during execution of NPP at a pre determined rate and panelty in case of delay attribuble to NPCIL approval/supervision etc.
Rationale:
To get lenders comfort and generate motivation for team for timely execution of NPP.",RFP terms & conditions shall prevail.
103,23,M/s Adani Energy Solutions Limited,"Change request:
It is requested to make provisions for training of USER's personnel/resources at NPCIL facilities
Rationale:
To develop understanding of nuclear power generation and ensure compliances",Not envisaged in current RFP
104,24,M/s Adani Energy Solutions Limited,"Change request:
Request to provide the details of project exection timeline as per major activities involved in project completion (key activities for both Civil and and non-civil milestones)
Rationale:
It is new sector for private sector players and details of project execution timelines aids in efficiently assessing project risk.","Excavation and Plain Cement Concrete (PCC) work are expected to take 9 to 12 months, while the construction of the first unit is projected to take 42 to 48 more months, counted from First Pour Concrete."
105,1,M/s Aditya Birla Renewables Limited (Hindalco),"""The USER shall have an industrial/commercial unit which, for its commercial/ industrial
activities has requirement of electricity of about 2500 MUs per year, which the USER intends to meet from the captive generating plant of the BSR""
""The USER  or its affiliates or its group company shall have an industrial/commercial unit which, for its commercial/ industrial activities has requirement of electricity of about 2500 MUs per year, which the USER intends to meet from the captive generating plant of the BSR""
(1) Many conglomerates have set-up, within its group of companies, a renewable energy generating company to install and supply renewable power for the groups renewable energy requirement / decarbonization.
(2) Since the Nuclear capacity is large, this will help to aggregate the power requirements of the group company and supply power thus helping to increase the demand of Nuclear Power.
(3) The above is permitted in case of renewables, hydro and thermal sector under structure as per Electricity Act 2003 and Electricity Rules 2005, whereby 26% of the equity is invested by the captive consumer and 74% of the equity is invested by the
power generator.","Proposal for amendment in Electricity rules for captive consumption to include the supply from Nuclear power stations is under active consideration. Following notification by MoP, the amendment will be made available."
